"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 22 13:07:17 GMT 2020","Tue Dec 22 13:07:34 GMT 2020","16566","","","","","","Email -- @1.5 ",""
"passed","Tue Dec 22 13:07:58 GMT 2020","Tue Dec 22 13:08:11 GMT 2020","13069","","","","","","Email -- @1.8 ",""
"passed","Tue Dec 22 13:07:34 GMT 2020","Tue Dec 22 13:07:46 GMT 2020","12045","","","","","","Email -- @1.6 ",""
"broken","Tue Dec 22 10:55:08 GMT 2020","Tue Dec 22 10:56:32 GMT 2020","83852","","","","","","Email -- @1.1 ",""
"passed","Tue Dec 22 12:41:12 GMT 2020","Tue Dec 22 12:41:39 GMT 2020","27647","","","","","","Email -- @1.2 ",""
"passed","Tue Dec 22 13:07:05 GMT 2020","Tue Dec 22 13:07:17 GMT 2020","12585","","","","","","Email -- @1.4 ",""
"passed","Tue Dec 22 13:06:41 GMT 2020","Tue Dec 22 13:06:53 GMT 2020","12332","","","","","","Email -- @1.2 ",""
"passed","Tue Dec 22 13:08:11 GMT 2020","Tue Dec 22 13:08:23 GMT 2020","11951","","","","","","Email -- @1.9 ",""
"passed","Tue Dec 22 13:07:46 GMT 2020","Tue Dec 22 13:07:58 GMT 2020","12304","","","","","","Email -- @1.7 ",""
"passed","Tue Dec 22 13:08:23 GMT 2020","Tue Dec 22 13:08:41 GMT 2020","17368","","","","","","Email -- @1.10 ",""
"passed","Tue Dec 22 13:06:22 GMT 2020","Tue Dec 22 13:06:41 GMT 2020","18738","","","","","","Email -- @1.1 ",""
"passed","Tue Dec 22 13:06:53 GMT 2020","Tue Dec 22 13:07:05 GMT 2020","11489","","","","","","Email -- @1.3 ",""
